,text,neg,neu,pos,compound
58,"Nifty is currently trading below its 10 Day EMA positioned at 21780 and is heading towards its 20 Day EMA in the 21550-21600 zone, which could serve as a crucial support level. Positionally, if 21550 is breached, the Index may revisit the lower support zone a…",0.509,0.41,0.081,-1
59,Market watchers says the pause which follows a record-breaking spree will make the overall breadth healthy,0.0,0.838,0.162,1
60,"Going forward, analysts remain bullish on overall breadth but suggest investors to exercise caution as Q3 results could trigger volatile whips",0.0,0.282,0.718,1
61,"The HDFC Bank ADR, the US-listed shares of the bank, tanked 6.7 percent on the NYSE to $61 in the biggest single-day drop since April 2022",0.074,0.848,0.078,0
62,"Indian rupee reported marginal gains against the US dollar, as the domestic unit closed at 83.16 in the week ended January 5 against December 29 closing of 83.20.",0.0,0.915,0.085,0
63,"In this week, Indian rupee closed higher against the US dollar. The domestic currency gained 24 paise to end at 82.92 in the week ended January 12 against January 5 closing of 83.16.",0.0,0.923,0.077,0
64,"Joe Benarroch, head of business operations at X told WSJ on Monday that search has been re-enabled and the social media platform &quot;will continue to be vigilant for any attempt to spread this content and will remove it if we find it.&quot;",0.0,0.959,0.041,0
65,It is one of the deadliest single incidents in the three-month war against Hamas that erupted after the militant groupâs Oct. 7 attack into Israel.,0.241,0.759,0.0,-1
66,"&quot;Today's court ruling is contrary to our original intention,&quot; Shawn Sui, the firm's executive director, told the business daily 21st Century Business Herald, adding &quot;we can only say that we have tried our best and it's very regrettable&quot;.",0.0,0.847,0.153,1
67,"The BoE said in a statement it had left its rate at 5.25 percent, the highest level for 16 years, following a regular policy meeting.",0.0,1.0,0.0,0
68,"Foreign institutional investors (FIIs) sold equities worth of Rs 3,901.27 crore, while Domestic institutional investors (DIIs) bought equities worth Rs 6,858.47 crore.",0.0,0.84,0.16,1
69,"On the sectoral front, Nifty Media index shed 10 percent, Nifty Realty index down 4.5 percent, Nifty Bank index fell 2.6 percent, and Nifty PSU Bank index down 2 percent. On the other hand, Nifty Pharma index up 1.7 percent.",0.675,0.214,0.112,-1
70,"Among sectors, Nifty PSU bank, metal and BSE Realty were the gainers, while other sectoral indices closed in the red",0.786,0.186,0.028,-1
71,"&quot;Trading in the shares of... Evergrande Property Services Group Limited has been halted at 10:19 a.m today,&quot; the city's stock exchange said. It also halted trading in its electric vehicle subsidiary at the same time.",0.051,0.889,0.059,0
72,"Siddaramaiah said although there was a demand to give an additional Rs 3,000 per quintal, the government is giving Rs 1,500 to the coconut growers keeping in view its financial capacity.",0.047,0.878,0.075,0
73,"&quot;An attack targeted a residential building in the Mazzeh neighbourhood in Damascus, resulting from an Israeli aggression,&quot; Syria's state-run SANA news agency reported. It did not say if there were any casualties.",0.094,0.906,0.0,-1
74,"Wholesale commodity markets, including metal and bullion, will also remain closed.",0.0,1.0,0.0,0
75,Transport Minister S Iswaran was arrested in July 2023 and released on bail in connection with a rare top-level graft investigation in the city-state.,0.129,0.871,0.0,-1
76,"&quot;I can only confirm that we have conducted strikes against anti-Pakistan militant groups that were targeted inside Iran,&quot; a senior intelligence source not authorised to give information to the media told AFP, adding that a government statement would…",0.063,0.859,0.078,0
77,"In keeping with the government's aspirations for the future, the Budget focuses on women, youth, farmers and the poor",0.147,0.853,0.0,-1
78,The FAA on Jan. 6 grounded 171 Boeing 737 MAX 9 planes following the mid-air cabin blowout of a door plug on an eight-week old Alaska Airlines jet. The FAA said the Boeing 737-900ER is not part of the newer MAX fleet but has the same door plug design.,0.0,1.0,0.0,0
79,"Among sectoral indices Nifty Energy, BSE Oil and Gas and Nifty Infra were the highest gainers, up between 3 and 5 percent.",0.0,0.694,0.306,1
80,"While BSE Power Index was up 1 percent, Nifty IT and Pharma were the biggest losers today with the indices down 1.6 and 1.3 percent, respectively",0.111,0.721,0.167,0
81,"Among sectors, Pharma and Realty gained 1 percent and 0.74 percent each while Power and Metal became the biggest losers with 1.3 percent and 0.84 percent down respectively.",0.105,0.741,0.154,0
82,Finance Minister Nirmala Sitharaman on Thursday hiked capital expenditure by 11 per cent for the next fiscal to sustain a world-beating economic growth rate while trimming the deficit in a reform-oriented interim budget.,0.079,0.845,0.076,0
83,"The stock of Siemens India has given 11-days consolidation breakout on daily scale. This breakout was accompanied by strong trading volume, surpassing the 50-day average volume. Furthermore, on the breakout day, the stock displayed a significant bullish candl…",0.0,0.243,0.757,1
84,"The total value of shares in India's stock market equalled $4.33 trillion on Monday's close, topping Hong Kong's $4.29 trillion.",0.0,0.796,0.204,1
85,"The start of the Q3 earnings season, coupled with uncertainty in the Middle East and the recent increase in Russian aggression, caused volatility to rise in the market",0.035,0.182,0.783,1
86,"Going ahead, the market is likely to consolidate further ahead of US Fed interest rate decision on Wednesday, when the Fed is expected to maintain status quo and give hint regards to a timeline on the rate cut. Apart from this, BoE monetary policy is also due…",0.043,0.896,0.061,0
87,"Inflows via systematic investment plans (SIPs) rose to Rs 17,610 crore in December against Rs 17,073 crore in November.",0.0,1.0,0.0,0
88,The firm said its arm KPIG Energia got a new order of 3 megawatt for executing solar power projects under the captive power producer segment,0.0,1.0,0.0,0
89,"Market breadth favoured gainers. About 2,225 shares advanced, 1,609 declined and 102 remained unchanged.",0.0,0.611,0.389,1
90,"The domestic currency broke its six-day gaining streak despite positive equity market sentiment, as foreign funds outflow dented sentiments.",0.233,0.652,0.114,-1
91,"Among sectors, auto, Information Technology, capital goods, FMCG, metal, oil &amp; gas and power up 1-2 percent",0.0,1.0,0.0,0
92,"Sensex, Nifty updates| Find here all the live updates related to Sensex, Nifty, BSE, NSE, share prices and Indian stock markets for 08 January 2024. Notwithstanding initial gains, equity benchmarks BSE Sensex and NSE Nifty declined around 0.9% each on Monday.…",0.0,0.739,0.261,1
93,"In Bank Nifty weekly closing today is important. As per experts, if it is above 46500, then some respite can be seen in the next week. However, if it closes below 45500 today, it will open gates for more downside, and simultaneously, Bank nifty can drag down …",0.079,0.787,0.135,1
94,"All sectoral indices ended in the green, with auto, capital goods, IT, FMCG, metal, oil &amp; gas and power gaining up to 2 percent",0.0,0.281,0.719,1
95,"Kotak Mahindra Bank Q3 results: This is Kotak Bank#39;s first quarterly results with Ashok Vaswani at the helm, who took over as the managing director and chief executive officer on January 1",0.0,1.0,0.0,0
96,"The rupee closed at 83.1225 against the U.S. dollar, barely changed from its close at 83.1375 in the previous session.",0.0,1.0,0.0,0
97,"Though multiple expression of interests were received and bidders shortlisted but none wanted to proceed with the transaction, the government has said",0.0,0.933,0.067,0
98,Fund managers of actively managed mutual funds have increased exposure significantly in these sectors over the last three months,0.0,0.794,0.206,1
99,"Trends in the GIFT Nifty indicate a strong start for the broader index in India, with a gain of 79.50 points or 0.37 percent.",0.0,0.14,0.86,1
